length,gamut,iteration,times
20,24,4,1.2397665680000074
20,24,5,1.4723380149999912
20,28,1,1.438282756999996
20,28,2,1.4093960950000053
20,28,3,1.3080647790000057
20,28,4,1.6822866839999904
20,28,5,1.4100601789999985
20,32,1,1.4891726429999892
20,32,2,1.383774970999994
20,32,3,1.246872886999995
20,32,4,1.4432714960000084
20,32,5,1.5679508780000049
24,8,1,1.2639294060000026
24,8,2,1.3927473480000003
24,8,3,1.2438012610000015
24,8,4,1.3818080659999907
24,8,5,1.1511215870000058
24,12,1,1.3042565229999923
24,12,2,1.5035157760000004
24,12,3,1.4134884810000017
24,12,4,1.3697799770000074
24,12,5,1.751655759000002
24,16,1,1.9405134249999918
24,16,2,2.099529978999996
24,16,3,1.9820115799999911
24,16,4,1.9857179999999914
24,16,5,1.8964530639999992
24,20,1,2.2022103540000018
24,20,2,2.352302463000001
24,20,3,2.1631854809999993
24,20,4,2.2529142879999995
24,20,5,2.3669631930000037
24,24,1,2.0020039110000027
24,24,2,2.346395744000006
24,24,3,2.422168874000022
24,24,4,2.2222051480000005
24,24,5,2.279891367999994
24,28,1,2.5657435770000063
24,28,2,2.256222543000007
24,28,3,2.175824035000005
24,28,4,2.350344717999974
24,28,5,2.371798302000002
24,32,1,2.660432496999988
24,32,2,2.437429294999987
24,32,3,2.0274390950000054
24,32,4,2.2959519839999984
24,32,5,2.4043509850000078
28,8,1,1.7656486610000002
28,8,2,1.8332674990000157
28,8,3,1.9418977709999865
28,8,4,1.9388903420000076
28,8,5,1.9844029509999928
28,12,1,1.9192719790000012
28,12,2,1.905803144999993
28,12,3,1.8536830060000113
28,12,4,1.8956461329999854
28,12,5,2.092589994000008
28,16,1,3.164945490000008
28,16,2,3.0175115689999927
28,16,3,3.1059893860000045
28,16,4,3.2454646709999793
28,16,5,2.886652113999986
28,20,1,2.865362379000004
28,20,2,3.5413667669999995
28,20,3,3.513110259000001
28,20,4,2.676581163999998
28,20,5,3.2942384829999867
28,24,1,2.887272041999978
28,24,2,3.1332821089999925
28,24,3,2.873548587000016
28,24,4,3.0277905410000017
28,24,5,2.9081630420000124
28,28,1,2.900682133999993
28,28,2,3.1450582800000007
28,28,3,3.0226549330000125
28,28,4,3.2200662280000074
28,28,5,3.0659489660000077
28,32,1,3.409312497000002
28,32,2,2.9185108550000223
28,32,3,3.293839431000009
28,32,4,2.87815604299999
28,32,5,3.1930483049999907
32,8,1,2.4292917859999648
32,8,2,2.1192434579999713
32,8,3,2.249957853000012
32,8,4,2.532874337999999
32,8,5,2.242943437000008
32,12,1,2.362632598999994
32,12,2,2.6016268399999944
32,12,3,2.536044520999951
32,12,4,2.5661865520000333
32,12,5,2.90882029200003
32,16,1,4.325650752000001
32,16,2,3.8432643720000215
32,16,3,3.870283282999992
32,16,4,4.039015039999981
32,16,5,3.8845059320000246
32,20,1,3.4219512099999747
32,20,2,4.427613625999982
32,20,3,5.19258622000001
32,20,4,4.089480029000015
32,20,5,4.297301322999999
32,24,1,3.871693953000033
32,24,2,4.029577926999991
32,24,3,4.25375782399999
32,24,4,4.396741299999974
32,24,5,4.079541479999989
32,28,1,4.924746086000027
32,28,2,4.624497961999964
32,28,3,4.772122502000002
32,28,4,4.656311786999993
32,28,5,4.39674895600001
32,32,1,4.892558536000024
32,32,2,4.156878549999988
32,32,3,4.262744604000034
32,32,4,4.134427076000009
32,32,5,4.631872022999971
