length,gamut,iteration,times
4,16,1,0.5626310889999786
4,16,2,0.5148974130000852
4,16,3,0.5996305869999787
4,16,4,0.5029968720000397
4,16,5,0.522378687000014
4,20,1,0.4990122279999696
4,20,2,0.5371229280000307
4,20,3,0.4911670579999736
4,20,4,0.5003177979999691
4,20,5,0.4989714319999621
4,24,1,0.5493507859999909
4,24,2,0.5057402740000043
4,24,3,0.4996705240000665
4,24,4,0.523581336999996
4,24,5,0.5018972980000171
4,28,1,0.5467999210000016
4,28,2,0.6222759869999663
4,28,3,0.5613927819999844
4,28,4,0.6160747059999494
4,28,5,0.6042730100000426
4,32,1,0.5653263880000168
4,32,2,0.6003645160000133
4,32,3,0.6505071059999636
4,32,4,0.5755763540000771
4,32,5,0.5922796439999729
8,16,1,1.8021761240000842
8,16,2,1.6646859490000452
8,16,3,1.7422204659999352
8,16,4,1.6952916379999579
8,16,5,1.9082569810000223
8,20,1,1.8560848480000232
8,20,2,1.9115168130000484
8,20,3,2.092718135000041
8,20,4,2.0394984230000546
8,20,5,2.0319002329999876
8,24,1,1.8686476130000074
8,24,2,1.785967314000004
8,24,3,1.7858358839999937
8,24,4,1.7353292870000132
8,24,5,1.7505643810000038
8,28,1,2.0084452549999696
8,28,2,1.8137944459999744
8,28,3,1.7260426220000227
8,28,4,1.8558798420000358
8,28,5,1.7599758549999933
8,32,1,1.7507816490000323
8,32,2,1.9082653160000973
8,32,3,1.802779816999987
8,32,4,1.8644579309999472
8,32,5,1.7906477210000276
12,16,1,3.3779624009999907
12,16,2,3.339277137999943
12,16,3,3.348170643000003
12,16,4,3.3147049220000326
12,16,5,3.362993942999992
12,20,1,3.2755272320000586
12,20,2,3.4645602249999
12,20,3,3.3953773259999025
12,20,4,3.1913927879999164
12,20,5,3.251903302999949
12,24,1,3.6901996029999964
12,24,2,3.539038863999963
12,24,3,3.5476643519999698
12,24,4,3.4295324820000133
12,24,5,3.539761617999943
12,28,1,3.3732782050000196
12,28,2,3.615073084999949
12,28,3,3.452034223000055
12,28,4,3.4561118280000755
12,28,5,3.5893405640000537
12,32,1,3.818732420999936
12,32,2,3.7753624470000204
12,32,3,3.666889776000062
12,32,4,3.7808111440000403
12,32,5,4.28055666299997
16,16,1,6.698604404999969
16,16,2,5.783243088999939
16,16,3,5.37274714299997
16,16,4,5.568354607999936
16,16,5,6.695289584000079
16,20,1,6.2333576910000374
16,20,2,5.733050079999998
16,20,3,6.122548422000023
16,20,4,5.737676597000018
16,20,5,6.072616831999994
16,24,1,6.237124734000076
16,24,2,5.900002620999999
16,24,3,5.985969322999949
16,24,4,5.6048387950000915
16,24,5,5.962329799000031
16,28,1,5.542872315999944
16,28,2,5.595118150000076
16,28,3,5.829868638000107
16,28,4,6.015556705999984
16,28,5,5.7365169740000965
16,32,1,6.506574962000059
16,32,2,6.243361009000068
16,32,3,7.221131688000014
16,32,4,7.338149737000094
16,32,5,7.594664057000045
20,16,1,9.471214153000119
20,16,2,9.713930381999944
