,length,gamut,mutations,time
0,4,8,4,0.17067411600000004
1,4,12,5,0.15130744399999996
2,4,12,2,0.12653396200000033
3,4,12,5,0.16265695000000013
4,4,12,6,0.14291052299999984
5,4,12,3,0.12898659499999976
6,4,16,1,0.1525128330000003
7,4,16,4,0.14253129999999992
8,4,16,3,0.15073586300000041
9,4,16,3,0.16787512100000068
10,4,16,4,0.12823171500000008
11,4,16,0,0.14205288500000002
12,4,20,3,0.1427999679999994
13,4,20,2,0.1389071409999998
14,4,20,4,0.16299422599999946
15,4,20,4,0.14136135299999975
16,4,20,5,0.1405663310000005
17,4,20,0,0.14745177799999887
18,8,8,4,0.22844078299999993
19,8,8,6,0.2981706070000012
20,8,8,6,0.27883710400000083
21,8,12,2,0.2506945460000001
22,8,12,6,0.2889876049999991
23,8,12,3,0.2571716419999994
24,8,12,6,0.258755003000001
25,8,16,3,0.2879992250000001
26,8,16,5,0.3446532299999987
27,8,16,3,0.29883627500000287
28,8,16,6,0.341829538999999
29,8,16,4,0.3708672650000011
30,8,16,0,0.2727135529999991
31,8,20,2,0.2798138940000001
32,8,20,5,0.28852776400000124
33,8,20,4,0.3145032850000007
34,8,20,6,0.29863634400000194
35,8,20,7,0.3242802480000009
36,8,20,0,0.29707961099999736
37,12,8,2,0.3743935989999976
38,12,8,5,0.4491916489999994
39,12,8,6,0.344091229
40,12,8,3,0.3676969969999959
41,12,12,3,0.41916662199999877
42,12,12,5,0.41048856900000175
43,12,12,3,0.36777335699999725
44,12,12,7,0.5561998619999997
45,12,12,3,0.40680382299999707
46,12,16,4,0.4950637029999996
47,12,16,4,0.4064510820000038
48,12,16,4,0.4445781129999986
49,12,16,7,0.6331298570000001
50,12,16,3,0.4969615879999978
51,12,16,0,0.4109698669999986
52,12,20,2,0.4648689269999977
53,12,20,4,0.45068358800000397
54,12,20,5,0.40059482699999194
55,12,20,1,0.46894304500000317
56,12,20,0,0.41758760799999095
57,16,8,3,0.535613443999992
58,16,8,6,0.5575753429999963
59,16,8,3,0.6816265949999973
60,16,8,2,0.5682914109999899
61,16,12,6,0.5869931919999942
62,16,12,3,0.3761580419999859
63,16,12,3,0.540202483999991
64,16,16,5,0.539765463000009
65,16,16,6,0.6828198260000136
66,16,16,5,0.5724731370000029
67,16,16,4,0.6802104589999942
68,16,16,4,0.4433389600000055
69,16,16,0,0.5389764770000056
70,16,20,3,0.5904039429999841
71,16,20,2,0.552945176999998
72,16,20,5,0.4396516639999959
73,16,20,6,0.5368023460000018
74,16,20,4,0.5374097979999988
75,16,20,0,0.5403083039999785
76,20,8,3,0.5903980880000006
77,20,8,4,0.6655507629999988
78,20,8,5,1.588446370000014
79,20,12,6,1.2391426279999962
80,20,12,5,0.6530462810000017
81,20,12,4,0.6565835270000093
82,20,12,4,0.5946914190000143
83,20,12,5,0.5964387829999964
84,20,16,3,0.6689049480000335
85,20,16,4,0.7202703929999643
86,20,16,4,0.6999053929999945
87,20,16,3,0.6656085900000335
88,20,16,2,0.720762537999974
89,20,16,0,0.67594466099996
90,20,20,3,0.732609368999988
91,20,20,6,0.6666796840000302
92,20,20,7,0.6748359270000037
93,20,20,2,0.6716652389999922
94,20,20,5,0.473605866000014
95,20,20,0,0.6744356739999944
