,length,gamut,mutations,time
148,16,20,4,0.14378026500000374
149,16,20,4,0.1570974139999919
150,16,20,4,0.16059105700000487
151,16,20,4,0.16407806699999128
152,16,20,5,0.17029004699999462
153,16,20,6,0.18445860899998934
154,16,20,4,0.18814953099999343
155,16,20,3,0.17667199200000994
156,16,20,4,0.17004493500000706
157,16,20,0,0.16868647699999428
158,20,8,5,0.17924973300000602
159,20,8,5,0.20312885799999947
160,20,8,5,0.1989036770000041
161,20,8,4,0.1991886400000027
162,20,8,4,0.1830342800000011
163,20,8,2,0.20731670400000723
164,20,8,5,0.20816767799999525
165,20,8,3,0.19274845500000026
166,20,8,1,0.160943998999997
167,20,12,4,0.19419263800000408
168,20,12,7,0.19501424400000644
169,20,12,4,0.19313236399999312
170,20,12,5,0.1972881939999951
171,20,12,3,0.176541964000009
172,20,12,4,0.19903620600000238
173,20,12,4,0.22044034600000373
174,20,12,4,0.21911069600000133
175,20,12,4,0.19122133400000507
176,20,12,2,0.20399586400000658
177,20,16,6,0.1842161879999935
178,20,16,2,0.19497794299999782
179,20,16,6,0.18933849200000452
180,20,16,3,0.21742830600000218
181,20,16,4,0.20614847400000258
182,20,16,4,0.2618010759999976
183,20,16,4,0.18668765099999973
184,20,16,5,0.21974606400000596
185,20,16,3,0.19418414300000109
186,20,16,3,0.17913224600000888
187,20,16,0,0.18952028399999676
188,20,20,4,0.18187199299998724
189,20,20,3,0.18024228699999867
190,20,20,5,0.20716226300000073
191,20,20,5,0.20987409199999263
192,20,20,1,0.18119118999999273
193,20,20,4,0.18004584400000567
194,20,20,3,0.18784034299999064
195,20,20,2,0.19849477200000365
196,20,20,4,0.19538255999999876
197,20,20,4,0.21332437599998855
198,20,20,0,0.20013823699999023
