length,gamut,line
8,28,"[12, 9, 7, 7, 7, 7, 9, 9, 11, 9, 9, 9, 7, 7, 7, 9, 11, 9, 11, 9, 11, 11, 11, 11, 11, 11, 11, 9, 7, 9, 9, 7]"
8,28,"[7, 9, 9, 9, 7, 9, 7, 9, 9, 9, 9, 11, 12, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 9, 7, 9, 9, 7]"
8,28,"[7, 9, 9, 9, 7, 9, 7, 12, 11, 9, 9, 9, 9, 7, 7, 7, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 7]"
8,32,"[7, 9, 9, 9, 11, 9, 11, 11, 12, 9, 7, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 9, 11, 9, 7, 9, 9, 7]"
8,32,"[7, 9, 9, 12, 11, 11, 11, 9, 9, 7, 9, 7, 9, 11, 9, 9, 11, 11, 11, 11, 9, 9, 11, 11, 9, 11, 11, 11, 9, 7, 9, 7]"
8,32,"[12, 7, 9, 9, 11, 11, 11, 11, 9, 9, 7, 9, 9, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 11, 9, 11, 11, 11, 9, 7, 9, 7]"
8,32,"[12, 9, 9, 9, 9, 9, 11, 11, 9, 7, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 9, 11, 9, 11, 9, 9, 7, 7, 9, 7]"
8,32,"[7, 9, 7, 9, 11, 9, 9, 11, 9, 9, 9, 7, 9, 11, 9, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 11, 11, 11, 12, 9, 9, 7]"
12,16,"[7, 9, 7, 9, 11, 9, 9, 9, 9, 7, 7, 7, 9, 9, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 9, 9, 7, 9, 7]"
12,16,"[7, 9, 7, 12, 11, 11, 9, 11, 9, 7, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 7, 7, 9, 7]"
12,16,"[12, 7, 9, 9, 11, 9, 9, 11, 9, 7, 7, 9, 11, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 7, 9, 7]"
12,16,"[7, 9, 9, 9, 11, 9, 9, 11, 9, 9, 7, 9, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 12, 11, 11, 11, 11, 11, 9, 9, 11, 9, 7, 9, 7]"
12,16,"[7, 7, 9, 7, 9, 11, 9, 9, 9, 7, 9, 7, 9, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 9, 9, 7, 9, 7]"
12,20,"[12, 7, 7, 7, 9, 9, 9, 7, 7, 9, 9, 7, 9, 7, 9, 9, 11, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 9, 9, 9, 9, 7]"
12,20,"[12, 7, 7, 7, 9, 7, 9, 9, 7, 9, 7, 7, 9, 9, 9, 9, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 11, 9, 7, 9, 7]"
12,20,"[7, 7, 9, 7, 9, 7, 7, 9, 7, 7, 9, 7, 7, 9, 7, 12, 11, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 11, 9, 7, 9, 7]"
12,20,"[7, 9, 7, 9, 7, 9, 7, 7, 7, 9, 9, 9, 9, 9, 9, 9, 11, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 11, 9, 9, 9, 7]"
12,20,"[7, 7, 9, 7, 9, 7, 7, 9, 9, 9, 7, 9, 9, 7, 7, 9, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 7, 9, 7]"
12,24,"[7, 9, 9, 9, 7, 9, 9, 9, 9, 9, 11, 9, 9, 11, 9, 9, 9, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 11, 12, 7, 9, 7]"
12,24,"[7, 9, 7, 9, 7, 9, 7, 7, 9, 9, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 9, 7, 9, 9, 7]"
12,24,"[7, 9, 7, 9, 9, 7, 9, 7, 9, 9, 11, 9, 9, 11, 11, 9, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 11, 9, 9, 9, 7]"
12,24,"[7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 9, 11, 11, 9, 11, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 11, 9, 9, 9, 7, 7, 9, 7]"
12,24,"[7, 9, 7, 7, 7, 9, 7, 12, 11, 9, 9, 11, 11, 9, 11, 11, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 7, 9, 7]"
12,28,"[7, 7, 9, 9, 9, 9, 11, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 9, 9, 9, 7]"
12,28,"[7, 9, 7, 9, 9, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 11, 9, 11, 9, 7, 9, 7]"
12,28,"[7, 7, 9, 7, 9, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 9, 7, 7, 9, 7]"
12,28,"[7, 7, 9, 9, 9, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 7]"
12,28,"[7, 9, 9, 9, 11, 9, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 11, 9, 11, 12, 9, 9, 7]"
12,32,"[7, 9, 9, 9, 11, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 9, 11, 11, 9, 7, 9, 7]"
12,32,"[7, 7, 9, 9, 11, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 12, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 9, 11, 9, 9, 9, 7]"
12,32,"[7, 9, 7, 7, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 11, 9, 9, 9, 7]"
12,32,"[7, 9, 7, 9, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 11, 9, 9, 9, 7]"
12,32,"[12, 9, 9, 7, 9, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 11, 9, 9, 9, 7]"
16,16,"[12, 9, 7, 9, 9, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 2, 2, 4, 2, 0, 0, 0, 0, 2, 4, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 9, 9, 9, 9, 7]"
16,16,"[7, 9, 9, 7, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 2, 2, 0, 0, 0, 0, 2, 2, 2, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 11, 9, 9, 9, 7]"
16,16,"[7, 9, 7, 12, 11, 9, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 9, 7, 9, 9, 7]"
16,16,"[12, 9, 7, 9, 9, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 2, 4, 2, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 9, 7, 7, 9, 7]"
16,16,"[7, 7, 9, 9, 11, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 2, 4, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 9, 7, 7, 9, 7]"
16,20,"[7, 9, 9, 7, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 11, 11, 11, 11, 12, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 9, 9, 7, 9, 7]"
16,20,"[7, 9, 9, 9, 11, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 4, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 7, 9, 9, 7]"
16,20,"[12, 7, 9, 9, 9, 9, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 11, 9, 7, 9, 7]"
16,20,"[12, 9, 7, 9, 9, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 4, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 11, 9, 9, 9, 7]"
