length,gamut,iteration,times
12,28,3,0.31554860399999995
12,28,4,0.3509361569999996
12,28,5,0.3264497079999984
12,32,1,0.34376869399999777
12,32,2,0.35466633800000125
12,32,3,0.3656952519999983
12,32,4,0.36939015100000105
12,32,5,0.3807231059999978
16,16,1,0.5945903520000009
16,16,2,0.527825411000002
16,16,3,0.4792011279999997
16,16,4,0.4757985849999997
16,16,5,0.46445381399999874
16,20,1,0.540260755000002
16,20,2,0.5665812189999997
16,20,3,0.48360028800000165
16,20,4,0.5087326400000016
16,20,5,0.5023066949999944
16,24,1,0.6165488709999991
16,24,2,0.5528035990000006
16,24,3,0.5457124830000026
16,24,4,0.5412604329999979
16,24,5,0.5118335340000044
16,28,1,0.747109702000003
16,28,2,0.6246467929999966
16,28,3,0.5822669040000008
16,28,4,0.536540930000001
16,28,5,0.5775709109999951
16,32,1,0.7755497349999985
16,32,2,0.8934419160000004
16,32,3,0.5512495960000052
16,32,4,0.4904674269999987
16,32,5,0.5080625949999984
20,16,1,0.678125479000002
20,16,2,0.7485311390000007
20,16,3,0.7204069929999974
20,16,4,0.9392669049999967
20,16,5,0.8849249080000021
20,20,1,0.6676712089999981
20,20,2,0.654467025999999
20,20,3,0.8226754639999996
20,20,4,0.9725740909999985
20,20,5,0.676478889000002
20,24,1,0.6900326419999985
20,24,2,0.7566366679999987
20,24,3,0.7045421800000042
20,24,4,0.7649888089999948
20,24,5,0.7656957210000002
20,28,1,0.7529493269999961
20,28,2,0.8018695749999978
20,28,3,0.7702913480000007
20,28,4,0.7513994499999939
20,28,5,0.745782320999993
20,32,1,0.7586966969999906
20,32,2,0.8360161630000107
20,32,3,0.7941895130000063
20,32,4,0.8164741439999972
20,32,5,0.8182874339999984
24,16,1,0.9284052609999947
24,16,2,0.9409833240000012
24,16,3,1.0410273349999954
24,16,4,0.9804061370000028
24,16,5,0.9614900509999984
24,20,1,1.0082391110000088
24,20,2,0.9328233939999961
24,20,3,0.9835965719999962
24,20,4,1.0342433990000046
24,20,5,0.8883958360000008
24,24,1,0.9468410510000069
24,24,2,1.0626300900000132
24,24,3,0.9757226539999948
24,24,4,1.0058747960000005
24,24,5,0.9458850449999971
24,28,1,0.9736214990000036
24,28,2,0.9676021430000077
24,28,3,0.9229986809999957
24,28,4,1.0230597700000033
24,28,5,1.0096757929999995
24,32,1,0.9874782899999985
24,32,2,0.9836735539999921
24,32,3,1.048957944999998
24,32,4,1.0779123159999955
24,32,5,1.0941885790000043
28,16,1,1.166136483999992
28,16,2,1.2658371799999912
28,16,3,1.2455263119999955
28,16,4,1.2096001409999957
28,16,5,1.223385621999995
28,20,1,1.2466764259999934
28,20,2,1.278115162000006
28,20,3,1.3174951629999896
28,20,4,1.2512155000000007
28,20,5,1.273137582000004
28,24,1,1.3562364500000115
28,24,2,1.2978307449999988
28,24,3,1.2568719129999977
28,24,4,1.3683470009999894
28,24,5,1.3260248439999884
28,28,1,1.2964758399999994
28,28,2,1.3214706320000005
28,28,3,1.3329249009999842
28,28,4,1.4699485920000086
28,28,5,1.3347460630000114
28,32,1,1.4532499659999871
28,32,2,1.4769647720000023
28,32,3,1.4652073789999918
28,32,4,1.4495235079999986
28,32,5,1.3098612520000188
32,16,1,1.480181574999989
32,16,2,1.5118140879999942
32,16,3,1.5641110980000121
32,16,4,1.4083104530000128
32,16,5,1.3261413220000122
32,20,1,1.5966444450000097
32,20,2,1.5909268200000213
32,20,3,1.6476293779999764
32,20,4,1.4370522530000187
32,20,5,1.7608268979999764
32,24,1,1.8363619520000043
32,24,2,1.740192933000003
32,24,3,1.6799908360000018
32,24,4,1.7506336729999816
32,24,5,1.791163799000003
32,28,1,1.706179483999989
32,28,2,1.574023607000015
32,28,3,1.6638265439999884
32,28,4,1.6076105509999934
32,28,5,1.848449402
32,32,1,1.737178833999991
32,32,2,1.7454783450000093
32,32,3,1.6947067330000039
32,32,4,1.9440365069999928
32,32,5,1.8956436850000102
