length,gamut,iteration,times
20,32,2,2.9396152340000015
20,32,3,3.081638376000001
20,32,4,3.0185710290000145
20,32,5,2.938615817999988
24,16,1,3.4477106100000015
24,16,2,3.496100949999999
24,16,3,3.6277792129999966
24,16,4,3.838890356999997
24,16,5,3.5319914050000136
24,20,1,3.7119195170000125
24,20,2,3.250152036000003
24,20,3,3.3182655960000034
24,20,4,3.271356484999984
24,20,5,3.536504535000006
24,24,1,3.6611647379999965
24,24,2,3.9808869989999778
24,24,3,3.5689577010000164
24,24,4,3.5916517990000045
24,24,5,3.646080885999993
24,28,1,4.221784651000007
24,28,2,4.636889768000003
24,28,3,3.854135632000009
24,28,4,3.9129019989999847
24,28,5,3.7979136989999915
24,32,1,3.905298268000024
24,32,2,3.7335174499999653
24,32,3,3.2532351779999544
24,32,4,3.7920546319999744
24,32,5,3.5234019080000394
28,16,1,4.8788845199999855
28,16,2,4.471728084000006
28,16,3,4.758022602999972
28,16,4,5.022011110999983
28,16,5,5.498474163000026
28,20,1,5.690796930999966
28,20,2,4.643682543000011
28,20,3,4.853636211999969
28,20,4,4.720621140999981
28,20,5,4.781068503000029
28,24,1,6.024760165000032
28,24,2,6.719172976999971
28,24,3,7.1041845700000295
28,24,4,7.788880059000007
28,24,5,6.602793441000017
28,28,1,6.003367651999952
28,28,2,8.236245662999977
28,28,3,6.762099061000015
28,28,4,6.4648280659999955
28,28,5,6.754993256000034
28,32,1,6.76315609400001
28,32,2,7.141702493000025
28,32,3,7.639176042999964
28,32,4,6.63456136100001
28,32,5,7.269254879000016
32,16,1,9.84574905400001
32,16,2,8.847278656000015
32,16,3,9.999549411999965
32,16,4,7.763806208999995
32,16,5,7.516494729999977
32,20,1,9.329669542000033
32,20,2,8.458143973999995
32,20,3,8.963108246999923
32,20,4,8.053310054999997
32,20,5,8.139040158999933
32,24,1,7.965416335999976
32,24,2,7.730717167999956
32,24,3,7.334207614999968
32,24,4,7.386441220999927
32,24,5,7.150684168999987
32,28,1,9.176523823000025
32,28,2,8.258205011999962
32,28,3,8.346775279999974
32,28,4,8.857725449999975
32,28,5,8.048528767999983
32,32,1,9.019677631000036
32,32,2,8.29606753400003
32,32,3,9.055683577999957
32,32,4,8.586438879999946
32,32,5,8.263342368999929
