,length,gamut,mutations,time
0,4,8,1,0.0689264589999965
1,4,8,4,0.06325193900001125
2,4,8,4,0.07501068899999552
3,4,8,2,0.07696992900000055
4,4,8,5,0.0687627329999998
5,4,8,5,0.06815800199998989
6,4,8,5,0.059974690000004216
7,4,8,4,0.08695149800000479
8,4,8,3,0.0726741699999991
9,4,12,6,0.07581734200000767
10,4,12,5,0.06804455399999654
11,4,12,5,0.06361124199999324
12,4,12,4,0.06749308599999893
13,4,12,3,0.06715755900000886
14,4,12,3,0.07710996000000137
15,4,12,5,0.07111785000000737
16,4,12,3,0.09593299899999863
17,4,12,3,0.10140254699999218
18,4,12,6,0.07349334300000976
19,4,16,5,0.082506046000006
20,4,16,4,0.06634426300000484
21,4,16,4,0.0844332420000029
22,4,16,6,0.11368727100000342
23,4,16,3,0.08450217000000748
24,4,16,3,0.09812808699999209
25,4,16,4,0.08515976199998931
26,4,16,3,0.09991322400000513
27,4,16,4,0.0857564869999976
28,4,16,3,0.08412021200000197
29,4,16,0,0.08843007400000147
30,4,20,5,0.08055201199999829
31,4,20,2,0.08094058099999302
32,4,20,3,0.08574554499999465
33,4,20,5,0.08775711200000558
34,4,20,6,0.08830674600000066
35,4,20,5,0.08780571200000509
36,4,20,4,0.09249754200000382
37,4,20,4,0.08817077199999801
38,4,20,6,0.07373602699999537
39,4,20,5,0.0929338429999973
40,4,20,0,0.08989593500000126
41,8,8,3,0.1679305889999938
42,8,8,5,0.13411090900000033
43,8,8,5,0.1946427879999959
44,8,8,5,0.1069138659999993
45,8,8,4,0.1594765370000033
46,8,8,3,0.15321775099999968
47,8,8,4,0.1497711040000098
48,8,8,3,0.14874424999999292
49,8,12,4,0.1561086899999964
50,8,12,4,0.1320514089999989
51,8,12,3,0.12498423200000275
52,8,12,5,0.1382394540000007
53,8,12,4,0.160624858999995
54,8,12,4,0.20932153300000778
55,8,12,4,0.16970159400000284
56,8,12,6,0.11572494600000027
57,8,12,4,0.13161854300000186
58,8,12,2,0.1486664180000048
59,8,16,5,0.16879739200000188
