length,gamut,line
4,16,"[12, 11, 9, 7]"
4,16,"[7, 11, 11, 12]"
4,16,"[0, 0, 11, 12]"
4,16,"[0, 11, 11, 12]"
4,16,"[12, 0, 9, 7]"
4,20,"[12, 11, 9, 7]"
4,20,"[7, 11, 11, 12]"
4,20,"[0, 11, 11, 12]"
4,20,"[0, 0, 11, 12]"
4,20,"[12, 0, 9, 7]"
4,24,"[12, 11, 9, 7]"
4,24,"[7, 11, 11, 12]"
4,24,"[0, 11, 11, 12]"
4,24,"[0, 0, 11, 12]"
4,24,"[12, 0, 9, 7]"
4,28,"[12, 11, 9, 7]"
4,28,"[7, 11, 11, 12]"
4,28,"[0, 11, 11, 12]"
4,28,"[0, 0, 11, 12]"
4,28,"[7, 0, 11, 12]"
4,32,"[12, 11, 9, 7]"
4,32,"[7, 11, 11, 12]"
4,32,"[0, 0, 11, 12]"
4,32,"[0, 11, 11, 12]"
4,32,"[7, 0, 11, 12]"
8,16,"[7, 7, 9, 11, 9, 9, 11, 12]"
8,16,"[7, 7, 9, 11, 11, 9, 11, 12]"
8,16,"[7, 9, 11, 11, 9, 11, 11, 12]"
8,16,"[7, 7, 9, 11, 11, 11, 11, 12]"
8,16,"[7, 9, 11, 11, 11, 11, 11, 12]"
8,20,"[7, 9, 11, 9, 9, 9, 11, 12]"
8,20,"[12, 11, 11, 9, 9, 7, 9, 7]"
8,20,"[7, 9, 11, 9, 7, 9, 11, 12]"
8,20,"[12, 11, 11, 11, 9, 7, 9, 7]"
8,20,"[12, 11, 11, 9, 9, 9, 9, 7]"
8,24,"[12, 11, 11, 9, 9, 9, 9, 7]"
8,24,"[12, 11, 11, 9, 7, 7, 9, 7]"
8,24,"[12, 11, 11, 9, 7, 9, 9, 7]"
8,24,"[12, 11, 11, 11, 9, 7, 9, 7]"
8,24,"[7, 9, 11, 9, 7, 9, 11, 12]"
8,28,"[7, 9, 9, 7, 9, 11, 11, 12]"
8,28,"[7, 9, 11, 12, 11, 11, 9, 7]"
8,28,"[12, 11, 9, 7, 9, 11, 9, 7]"
8,28,"[7, 9, 11, 9, 9, 11, 11, 12]"
8,28,"[12, 11, 9, 9, 11, 11, 9, 7]"
8,32,"[7, 9, 9, 11, 9, 11, 11, 12]"
8,32,"[12, 11, 9, 9, 9, 11, 9, 7]"
8,32,"[12, 11, 9, 11, 9, 11, 9, 7]"
8,32,"[12, 11, 9, 9, 11, 11, 9, 7]"
8,32,"[12, 11, 9, 11, 11, 11, 9, 7]"
12,16,"[7, 9, 11, 11, 11, 11, 9, 11, 12, 11, 9, 7]"
12,16,"[12, 11, 11, 11, 9, 11, 9, 11, 9, 11, 9, 7]"
12,16,"[7, 9, 9, 11, 9, 11, 9, 11, 9, 11, 11, 12]"
12,16,"[7, 9, 9, 11, 11, 11, 9, 11, 12, 11, 9, 7]"
12,16,"[7, 9, 9, 11, 9, 11, 12, 11, 9, 11, 9, 7]"
12,20,"[7, 9, 11, 9, 9, 11, 12, 11, 9, 11, 9, 7]"
12,20,"[7, 9, 11, 9, 9, 11, 9, 11, 12, 11, 9, 7]"
12,20,"[12, 11, 11, 9, 9, 11, 9, 11, 9, 11, 9, 7]"
12,20,"[7, 9, 11, 9, 9, 11, 9, 11, 9, 11, 11, 12]"
12,20,"[7, 9, 11, 12, 9, 11, 9, 11, 9, 11, 9, 7]"
12,24,"[7, 9, 11, 9, 11, 9, 11, 11, 9, 9, 11, 12]"
12,24,"[7, 9, 11, 9, 11, 12, 11, 9, 9, 11, 9, 7]"
12,24,"[7, 9, 11, 12, 11, 9, 11, 9, 9, 9, 9, 7]"
12,24,"[7, 9, 11, 12, 11, 9, 11, 11, 9, 9, 9, 7]"
12,24,"[12, 11, 11, 9, 11, 9, 11, 11, 9, 9, 9, 7]"
12,28,"[7, 9, 9, 9, 11, 9, 9, 11, 12, 11, 9, 7]"
12,28,"[12, 11, 9, 9, 11, 9, 9, 11, 9, 11, 9, 7]"
12,28,"[7, 9, 9, 11, 11, 9, 9, 11, 9, 11, 11, 12]"
12,28,"[12, 11, 9, 11, 11, 9, 9, 11, 9, 11, 9, 7]"
12,28,"[7, 9, 7, 9, 11, 9, 9, 11, 9, 11, 11, 12]"
12,32,"[7, 9, 11, 12, 11, 9, 11, 9, 9, 9, 9, 7]"
12,32,"[7, 9, 11, 12, 11, 9, 11, 11, 9, 7, 9, 7]"
12,32,"[12, 11, 11, 9, 11, 9, 11, 9, 9, 7, 9, 7]"
12,32,"[12, 11, 11, 9, 11, 9, 11, 11, 9, 7, 9, 7]"
12,32,"[7, 9, 11, 9, 11, 12, 11, 11, 9, 7, 9, 7]"
16,16,"[12, 11, 11, 9, 11, 5, 4, 5, 4, 4, 5, 11, 9, 11, 9, 7]"
16,16,"[7, 9, 11, 9, 11, 5, 4, 5, 7, 7, 5, 11, 12, 11, 9, 7]"
16,16,"[7, 9, 11, 12, 11, 5, 4, 5, 7, 7, 5, 11, 9, 11, 9, 7]"
16,16,"[12, 11, 11, 9, 11, 5, 7, 5, 4, 4, 5, 11, 9, 11, 9, 7]"
16,16,"[7, 9, 11, 12, 11, 5, 4, 5, 4, 4, 5, 11, 9, 11, 9, 7]"
16,20,"[7, 9, 11, 12, 11, 5, 7, 5, 4, 5, 5, 11, 9, 11, 9, 7]"
16,20,"[7, 9, 11, 9, 11, 5, 7, 5, 4, 5, 5, 11, 12, 11, 9, 7]"
16,20,"[12, 11, 11, 9, 11, 5, 7, 5, 4, 5, 5, 11, 9, 11, 9, 7]"
16,20,"[7, 9, 11, 9, 11, 5, 4, 5, 7, 5, 5, 11, 9, 11, 11, 12]"
16,20,"[7, 9, 11, 9, 11, 5, 7, 5, 4, 5, 5, 11, 9, 11, 11, 12]"
16,24,"[7, 9, 11, 9, 11, 5, 4, 4, 5, 7, 5, 11, 9, 11, 11, 12]"
16,24,"[7, 9, 11, 12, 11, 5, 4, 4, 5, 7, 5, 11, 9, 11, 9, 7]"
16,24,"[7, 9, 11, 9, 11, 5, 7, 7, 5, 4, 5, 11, 12, 11, 9, 7]"
16,24,"[12, 11, 11, 9, 11, 5, 7, 7, 5, 4, 5, 11, 9, 11, 9, 7]"
16,24,"[7, 9, 11, 12, 11, 5, 7, 7, 5, 4, 5, 11, 9, 11, 9, 7]"
16,28,"[7, 9, 11, 12, 11, 5, 4, 5, 7, 7, 5, 11, 9, 11, 9, 7]"
16,28,"[7, 9, 11, 9, 11, 5, 4, 5, 4, 4, 5, 11, 12, 11, 9, 7]"
16,28,"[12, 11, 11, 9, 11, 5, 4, 5, 4, 4, 5, 11, 9, 11, 9, 7]"
16,28,"[7, 9, 11, 9, 11, 5, 4, 5, 7, 7, 5, 11, 12, 11, 9, 7]"
16,28,"[7, 9, 11, 12, 11, 5, 4, 5, 4, 4, 5, 11, 9, 11, 9, 7]"
16,32,"[7, 9, 11, 12, 11, 5, 7, 5, 4, 5, 5, 11, 9, 11, 9, 7]"
16,32,"[7, 9, 11, 9, 11, 5, 7, 5, 4, 5, 5, 11, 12, 11, 9, 7]"
16,32,"[12, 11, 11, 9, 11, 5, 4, 5, 7, 5, 5, 11, 9, 11, 9, 7]"
16,32,"[7, 9, 11, 9, 11, 5, 4, 5, 7, 5, 5, 11, 12, 11, 9, 7]"
16,32,"[7, 9, 11, 12, 11, 5, 4, 5, 7, 5, 5, 11, 9, 11, 9, 7]"
20,16,"[7, 9, 11, 9, 11, 5, 4, 5, 4, 5, 4, 2, 4, 4, 5, 11, 12, 11, 9, 7]"
20,16,"[12, 11, 11, 9, 11, 5, 7, 5, 7, 5, 4, 2, 4, 4, 5, 11, 9, 11, 9, 7]"
20,16,"[7, 9, 11, 12, 11, 5, 7, 5, 7, 5, 4, 2, 4, 4, 5, 11, 9, 11, 9, 7]"
20,16,"[12, 11, 11, 9, 11, 5, 4, 5, 7, 5, 4, 4, 2, 4, 5, 11, 9, 11, 9, 7]"
20,16,"[7, 9, 11, 12, 11, 5, 4, 5, 7, 5, 4, 2, 4, 4, 5, 11, 9, 11, 9, 7]"
20,20,"[12, 11, 9, 11, 9, 11, 5, 4, 5, 4, 2, 0, 2, 4, 5, 11, 9, 11, 9, 7]"
20,20,"[7, 9, 11, 11, 12, 11, 5, 4, 5, 4, 2, 0, 2, 4, 5, 11, 9, 11, 9, 7]"
20,20,"[7, 9, 9, 11, 9, 11, 5, 7, 5, 4, 2, 0, 2, 4, 5, 11, 9, 11, 11, 12]"
20,20,"[12, 11, 9, 11, 9, 11, 5, 7, 5, 4, 2, 0, 2, 4, 5, 11, 9, 11, 9, 7]"
20,20,"[7, 9, 9, 11, 9, 11, 5, 4, 5, 4, 2, 0, 2, 4, 5, 11, 9, 11, 11, 12]"
20,24,"[7, 9, 11, 11, 11, 9, 9, 11, 12, 11, 5, 7, 5, 4, 5, 11, 9, 11, 9, 7]"
